company_id,company_name,report_year,report_title,source_url,download_date,file_name,page_count,source_type,notes
001,Barclays plc,2025,Barclays PLC Annual Report 2025,https://home.barclays/investor-relations/reports-and-events/annual-reports/,2026-07-13,001_barclays_plc_annual_report_2025.pdf,494,Official company investor relations website,Full Barclays PLC group annual report; 
002,HSBC Holdings plc,2025,Annual Report and Accounts 2025,https://www.hsbc.com/investors/results-and-announcements/annual-report,2026-07-13,002_hsbc_holdings_plc_annual_report_2025.pdf,372,Official company investor relations website,Full HSBC Holdings plc group annual report; English version
003,Lloyds Banking Group plc,2025,Annual Report and Accounts 2025,https://www.lloydsbankinggroup.com/investors/annual-report/annual-report-archive.html,2026-07-13,003_lloyds_banking_group_plc_annual_report_2025.pdf,327,Official company investor relations website,Full Lloyds Banking Group plc annual report
004,NatWest Group plc,2025,2025 Annual Report and Accounts,https://investors.natwestgroup.com/annual-report,2026-07-13,004_natwest_group_plc_annual_report_2025.pdf,436,Official company investor relations website,Full NatWest Group plc annual report and accounts
005,Standard Chartered plc,2025,Standard Chartered PLC Annual Report 2025,https://www.sc.com/en/investors/financial-results/annual-report/,2026-07-13,005_standard_chartered_plc_annual_report_2025.pdf,481,Official company investor relations website,Full Standard Chartered PLC annual report
006,Aviva plc,2025,Aviva plc Annual Report and Accounts 2025,https://www.aviva.com/investors/strategy-and-performance-overview/annual-report/,2026-07-13,006_aviva_plc_annual_report_2025.pdf,340,Official company investor relations website,Full Aviva plc annual report and accounts
007,Legal & General Group plc,2025,Annual Report and Accounts 2025,https://group.legalandgeneral.com/reporting-hub/,2026-07-13,007_legal_and_general_group_plc_annual_report_2025.pdf,259,Official company reporting website,Full Legal & General Group Plc annual report and accounts
008,M&G plc,2025,M&G plc Annual Report and Accounts 2025,https://group.mandg.com/investors/results-and-announcements/annual-report,2026-07-13,008_m_and_g_plc_annual_report_2025.pdf,345,Official company investor relations website,Full M&G plc annual report and accounts
009,Admiral Group plc,2025,Admiral Group Plc Annual Report and Accounts 2025,https://www.admiralgroup.co.uk/investor-relations/results-reports-and-presentations,2026-07-13,009_admiral_group_plc_annual_report_2025.pdf,336,Official company investor relations website,Full Admiral Group Plc annual report and accounts
010,AJ Bell plc,2025,AJ Bell plc Annual Report and Accounts 2025,https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf,2026-07-13,010_aj_bell_plc_annual_report_2025.pdf,168,Official company investor relations website,Full AJ Bell plc annual report and accounts for the year ended 30 September 2025
011,IG Group Holdings plc,2025,IG Group Holdings plc Annual Report 2025,https://www.iggroup.com/~/media/Files/I/IG-Group/documents/investors/financial-results/results-reports-and-presentations/2025/annual-report-2025.pdf,2026-07-13,011_ig_group_holdings_plc_annual_report_2025.pdf,184,Official company investor relations website,Full IG Group Holdings plc annual report for the year ended 31 May 2025
012,CMC Markets plc,2025,CMC Markets plc Annual Report 2025,https://www.cmcmarkets.com/group/investors/results-reports-and-presentations,2026-07-13,012_cmc_markets_plc_annual_report_2025.pdf,133,Official company investor relations website,Full CMC Markets plc annual report for the year ended 31 March 2025
013,IntegraFin Holdings plc,2025,IntegraFin Annual Report 2025,https://www.integrafin.co.uk/media/qzzcqyan/integrafin-annual-report-2025.pdf,2026-07-13,013_integrafin_holdings_plc_annual_report_2025.pdf,144,Official company investor relations website,Full IntegraFin Holdings plc annual report for the year ended 30 September 2025
014,Wise plc,2025,Wise Annual Report and Accounts 2025,https://owners.wise.com/static-files/fc630a9e-c907-4946-aa5e-16f4246a4ba6,2026-07-13,014_wise_plc_annual_report_2025.pdf,172,Official company investor relations website,Full Wise plc annual report and accounts for the year ended 31 March 2025
015,CAB Payments Holdings plc,2025,CAB Payments Holdings plc Annual Report 2025,https://www.crownagentsbank.com/wp-content/uploads/2026/03/CAB-Payments-Holdings-plc-Annual-Report-31Dec25.pdf,2026-07-13,015_cab_payments_holdings_plc_annual_report_2025.pdf,208,Official company investor relations website,Full CAB Payments Holdings plc annual report for the year ended 31 December 2025
016,Funding Circle Holdings plc,2025,Funding Circle Holdings plc Annual Report and Accounts 2025,https://corporate.fundingcircle.com/media/5pyhlkbj/funding-circle-holdings-plc-annual-report-and-accounts-2025.pdf,2026-07-13,016_funding_circle_holdings_plc_annual_report_2025.pdf,196,Official company investor relations website,Full Funding Circle Holdings plc annual report and accounts for the year ended 31 December 2025
017,Boku Inc.,2025,Boku Inc. Annual Report 2025,https://wp-boku-investors-2024.s3.eu-west-2.amazonaws.com/media/2026/03/Boku-Inc-Annual-Report-FY25.pdf,2026-07-13,017_boku_inc_annual_report_2025.pdf,115,Official company investor relations website,Full Boku Inc. annual report for the year ended 31 December 2025
018,PayPoint plc,2025,PayPoint Plc Annual Report 2025,https://www.paypointbusiness.com/media/ylkpbt5m/46923-paypoint-ar25_web.pdf,2026-07-14,018_paypoint_plc_annual_report_2025.pdf,170,Official company investor relations website,Full PayPoint Plc annual report for the year ended 31 March 2025
019,London Stock Exchange Group plc,2025,LSEG Annual Report 2025,https://www.lseg.com/content/dam/lseg/en_us/documents/investor-relations/annual-reports/lseg-annual-report-2025.pdf,2026-07-14,019_london_stock_exchange_group_plc_annual_report_2025.pdf,204,Official company investor relations website,Full London Stock Exchange Group plc annual report for the year ended 31 December 2025
020,Experian plc,2025,Experian Annual Report 2025,https://www.experianplc.com/content/dam/marketing/global/plc/en/assets/documents/reports/2025/experian-annual-report-2025.pdf,2026-07-14,020_experian_plc_annual_report_2025.pdf,248,Official company investor relations website,Full Experian plc annual report for the year ended 31 March 2025
