company_id,company_name,AI,AI ethics,LLM,artificial intelligence,automated decision-making,automation,bias,ethical AI,fairness,generative AI,human oversight,human-in-the-loop,large language model,machine learning,responsible AI
001,Barclays plc,195.0,0.0,0.0,20.0,0.0,7.0,8.0,1.0,7.0,2.0,1.0,0.0,0.0,7.0,1.0
002,HSBC Holdings plc,75.0,1.0,0.0,5.0,0.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0
003,Lloyds Banking Group plc,58.0,1.0,0.0,9.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
004,NatWest Group plc,144.0,1.0,0.0,27.0,1.0,15.0,4.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,4.0
005,Standard Chartered plc,80.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0
006,Aviva plc,65.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
007,Legal & General Group plc,43.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
008,M&G plc,13.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
009,Admiral Group plc,71.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,7.0
010,AJ Bell plc,5.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
011,IG Group Holdings plc,13.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
012,CMC Markets plc,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013,IntegraFin Holdings plc,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,Wise plc,13.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
015,CAB Payments Holdings plc,13.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
016,Funding Circle Holdings plc,91.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
017,Boku Inc.,12.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
018,PayPoint plc,4.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,London Stock Exchange Group plc,96.0,0.0,2.0,7.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
020,Experian plc,44.0,0.0,0.0,8.0,0.0,7.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0
