company_id,company_name,total_ai_transparency_mentions,unique_pages_with_mentions,unique_keywords_found,keywords_found
001,Barclays plc,249,60,10,"AI, artificial intelligence, automation, bias, ethical AI, fairness, generative AI, human oversight, machine learning, responsible AI"
004,NatWest Group plc,210,61,10,"AI, AI ethics, artificial intelligence, automated decision-making, automation, bias, fairness, generative AI, machine learning, responsible AI"
019,London Stock Exchange Group plc,119,34,8,"AI, LLM, artificial intelligence, automation, bias, generative AI, large language model, machine learning"
016,Funding Circle Holdings plc,104,30,8,"AI, artificial intelligence, automation, bias, fairness, generative AI, human-in-the-loop, machine learning"
009,Admiral Group plc,103,39,8,"AI, artificial intelligence, automation, bias, fairness, generative AI, machine learning, responsible AI"
002,HSBC Holdings plc,102,39,10,"AI, AI ethics, artificial intelligence, automation, bias, fairness, generative AI, large language model, machine learning, responsible AI"
005,Standard Chartered plc,95,33,7,"AI, artificial intelligence, automation, bias, fairness, generative AI, responsible AI"
006,Aviva plc,91,33,5,"AI, artificial intelligence, automation, fairness, generative AI"
003,Lloyds Banking Group plc,79,35,8,"AI, AI ethics, artificial intelligence, automation, bias, ethical AI, generative AI, machine learning"
020,Experian plc,74,35,7,"AI, artificial intelligence, automation, bias, fairness, generative AI, machine learning"
007,Legal & General Group plc,51,19,5,"AI, automation, bias, fairness, generative AI"
014,Wise plc,29,10,6,"AI, artificial intelligence, automation, bias, large language model, machine learning"
015,CAB Payments Holdings plc,28,16,6,"AI, artificial intelligence, automation, bias, fairness, machine learning"
008,M&G plc,24,19,5,"AI, artificial intelligence, automation, bias, fairness"
017,Boku Inc.,23,10,3,"AI, automation, fairness"
011,IG Group Holdings plc,22,16,5,"AI, artificial intelligence, automation, bias, fairness"
010,AJ Bell plc,21,14,6,"AI, artificial intelligence, automation, bias, fairness, generative AI"
018,PayPoint plc,13,9,3,"AI, automation, bias"
013,IntegraFin Holdings plc,11,3,3,"AI, artificial intelligence, automation"
012,CMC Markets plc,4,4,4,"AI, artificial intelligence, automation, bias"
