company_id,company_name,AI and related technologies,Data and analytics,"Fairness, bias and ethics",Governance and accountability,Human oversight,Risk and regulation,Transparency and explainability
001,Barclays plc,231.0,10.0,20.0,927.0,1.0,358.0,41.0
002,HSBC Holdings plc,93.0,5.0,17.0,805.0,0.0,294.0,15.0
003,Lloyds Banking Group plc,76.0,4.0,10.0,303.0,0.0,200.0,16.0
004,NatWest Group plc,198.0,5.0,23.0,891.0,1.0,297.0,11.0
005,Standard Chartered plc,87.0,6.0,34.0,378.0,0.0,183.0,13.0
006,Aviva plc,90.0,2.0,16.0,568.0,0.0,89.0,5.0
007,Legal & General Group plc,45.0,2.0,10.0,263.0,0.0,87.0,23.0
008,M&G plc,20.0,0.0,5.0,552.0,0.0,134.0,13.0
009,Admiral Group plc,90.0,6.0,14.0,642.0,0.0,124.0,27.0
010,AJ Bell plc,18.0,0.0,5.0,346.0,0.0,108.0,8.0
011,IG Group Holdings plc,20.0,2.0,5.0,349.0,0.0,85.0,13.0
012,CMC Markets plc,3.0,0.0,1.0,263.0,0.0,90.0,11.0
013,IntegraFin Holdings plc,11.0,0.0,2.0,275.0,0.0,65.0,13.0
014,Wise plc,28.0,1.0,2.0,341.0,0.0,75.0,25.0
015,CAB Payments Holdings plc,23.0,1.0,9.0,364.0,0.0,77.0,11.0
016,Funding Circle Holdings plc,99.0,1.0,8.0,348.0,1.0,102.0,10.0
017,Boku Inc.,21.0,0.0,5.0,56.0,0.0,43.0,9.0
018,PayPoint plc,12.0,3.0,3.0,279.0,0.0,49.0,11.0
019,London Stock Exchange Group plc,112.0,10.0,9.0,324.0,0.0,95.0,8.0
020,Experian plc,67.0,1.0,13.0,221.0,0.0,147.0,20.0
