final_rank,original_rank,company_id,company_name,total_score,final_score,score_change,score_percentage,final_score_percentage,rank_change
1,1,004,NatWest Group plc,13,13,0,92.86,92.86,0
2,2,001,Barclays plc,12,12,0,85.71,85.71,0
2,4,003,Lloyds Banking Group plc,9,12,3,64.29,85.71,2
3,3,009,Admiral Group plc,11,11,0,78.57,78.57,0
3,4,002,HSBC Holdings plc,9,11,2,64.29,78.57,1
3,5,019,London Stock Exchange Group plc,8,11,3,57.14,78.57,2
4,6,020,Experian plc,7,10,3,50.0,71.43,2
4,4,005,Standard Chartered plc,9,10,1,64.29,71.43,0
5,7,006,Aviva plc,6,9,3,42.86,64.29,2
5,4,016,Funding Circle Holdings plc,9,9,0,64.29,64.29,-1
6,8,017,Boku Inc.,5,7,2,35.71,50.0,2
7,7,010,AJ Bell plc,6,6,0,42.86,42.86,0
7,7,015,CAB Payments Holdings plc,6,6,0,42.86,42.86,0
7,7,011,IG Group Holdings plc,6,6,0,42.86,42.86,0
7,7,007,Legal & General Group plc,6,6,0,42.86,42.86,0
7,7,008,M&G plc,6,6,0,42.86,42.86,0
7,7,014,Wise plc,6,6,0,42.86,42.86,0
8,9,013,IntegraFin Holdings plc,3,5,2,21.43,35.71,1
9,10,018,PayPoint plc,2,2,0,14.29,14.29,1
10,11,012,CMC Markets plc,0,0,0,0.0,0.0,1
