company_id,company_name,report_year,core_ai_count,business_use_count,risk_context_count,ai_governance_count,human_oversight_count,ethics_fairness_count,total_ai_transparency_mentions,unique_keywords,unique_pages,ai_mention_score,business_use_score,risk_score,governance_score,human_oversight_score,ethics_fairness_score,specificity_score,total_score,score_percentage,coder_notes
004,NatWest Group plc,2025,183,18,86,5,1,11,210,10,61,2,2,2,2,1,2,2,13,92.86,Stricter automated score. Manual validation still required before final dissertation use.
001,Barclays plc,2025,224,14,132,2,1,17,249,10,60,2,2,2,1,1,2,2,12,85.71,Stricter automated score. Manual validation still required before final dissertation use.
009,Admiral Group plc,2025,87,8,39,7,0,13,103,8,39,2,1,2,2,0,2,2,11,78.57,Stricter automated score. Manual validation still required before final dissertation use.
016,Funding Circle Holdings plc,2025,96,5,53,0,1,4,104,8,30,2,1,2,0,1,1,2,9,64.29,Stricter automated score. Manual validation still required before final dissertation use.
002,HSBC Holdings plc,2025,89,8,44,2,0,9,102,10,39,2,1,2,1,0,1,2,9,64.29,Stricter automated score. Manual validation still required before final dissertation use.
005,Standard Chartered plc,2025,84,3,32,3,0,8,95,7,33,2,1,2,2,0,1,1,9,64.29,Stricter automated score. Manual validation still required before final dissertation use.
003,Lloyds Banking Group plc,2025,73,4,36,2,0,3,79,8,35,2,1,2,1,0,1,2,9,64.29,Stricter automated score. Manual validation still required before final dissertation use.
019,London Stock Exchange Group plc,2025,108,5,23,0,0,7,119,8,34,2,1,2,0,0,1,2,8,57.14,Stricter automated score. Manual validation still required before final dissertation use.
020,Experian plc,2025,60,9,25,0,0,7,74,7,35,2,1,2,0,0,1,1,7,50.0,Stricter automated score. Manual validation still required before final dissertation use.
006,Aviva plc,2025,84,6,15,0,0,1,91,5,33,2,1,2,0,0,0,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
007,Legal & General Group plc,2025,44,1,25,0,0,6,51,5,19,2,0,2,0,0,1,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
014,Wise plc,2025,19,10,10,0,0,1,29,6,10,2,2,1,0,0,0,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
015,CAB Payments Holdings plc,2025,16,8,10,0,0,5,28,6,16,2,1,1,0,0,1,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
008,M&G plc,2025,17,3,9,0,0,4,24,5,19,2,1,1,0,0,1,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
011,IG Group Holdings plc,2025,17,3,13,0,0,2,22,5,16,2,1,1,0,0,1,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
010,AJ Bell plc,2025,10,8,3,0,0,3,21,6,14,2,1,1,0,0,1,1,6,42.86,Stricter automated score. Manual validation still required before final dissertation use.
017,Boku Inc.,2025,12,9,13,0,0,2,23,3,10,2,1,1,0,0,1,0,5,35.71,Stricter automated score. Manual validation still required before final dissertation use.
013,IntegraFin Holdings plc,2025,10,1,7,0,0,0,11,3,3,2,0,1,0,0,0,0,3,21.43,Stricter automated score. Manual validation still required before final dissertation use.
018,PayPoint plc,2025,4,8,2,0,0,1,13,3,9,1,1,0,0,0,0,0,2,14.29,Stricter automated score. Manual validation still required before final dissertation use.
012,CMC Markets plc,2025,2,1,1,0,0,1,4,4,4,1,0,0,0,0,0,0,1,7.14,Stricter automated score. Manual validation still required before final dissertation use.
