company_id,company_name,total_ai_transparency_mentions,unique_keywords,unique_pages,total_score,score_percentage
004,NatWest Group plc,210,10,61,13,92.86
001,Barclays plc,249,10,60,12,85.71
009,Admiral Group plc,103,8,39,11,78.57
016,Funding Circle Holdings plc,104,8,30,9,64.29
002,HSBC Holdings plc,102,10,39,9,64.29
005,Standard Chartered plc,95,7,33,9,64.29
003,Lloyds Banking Group plc,79,8,35,9,64.29
019,London Stock Exchange Group plc,119,8,34,8,57.14
020,Experian plc,74,7,35,7,50.0
006,Aviva plc,91,5,33,6,42.86
007,Legal & General Group plc,51,5,19,6,42.86
014,Wise plc,29,6,10,6,42.86
015,CAB Payments Holdings plc,28,6,16,6,42.86
008,M&G plc,24,5,19,6,42.86
011,IG Group Holdings plc,22,5,16,6,42.86
010,AJ Bell plc,21,6,14,6,42.86
017,Boku Inc.,23,3,10,5,35.71
013,IntegraFin Holdings plc,11,3,3,3,21.43
018,PayPoint plc,13,3,9,2,14.29
012,CMC Markets plc,4,4,4,1,7.14
