company_id,company_name,band,context_windows,merged_passages,raw_characters,deduplicated_characters,characters_removed,percent_removed
013,IntegraFin Holdings plc,limited,11,3,3758,1739,2019,53.7
009,Admiral Group plc,high,103,51,36079,23056,13023,36.1
001,Barclays plc,high,249,122,75602,50965,24637,32.6
016,Funding Circle Holdings plc,moderate,104,53,33410,22606,10804,32.3
014,Wise plc,limited,29,16,9562,6495,3067,32.1
007,Legal & General Group plc,limited,51,28,15967,11317,4650,29.1
005,Standard Chartered plc,moderate,94,50,32251,23132,9119,28.3
004,NatWest Group plc,high,210,124,64259,46514,17745,27.6
020,Experian plc,moderate,74,47,23492,17210,6282,26.7
002,HSBC Holdings plc,high,100,67,31905,24011,7894,24.7
017,Boku Inc.,moderate,23,16,8197,6218,1979,24.1
003,Lloyds Banking Group plc,high,79,52,25940,19744,6196,23.9
006,Aviva plc,moderate,91,63,21576,16947,4629,21.5
019,London Stock Exchange Group plc,high,119,76,37395,30424,6971,18.6
010,AJ Bell plc,limited,21,16,5563,4628,935,16.8
015,CAB Payments Holdings plc,limited,28,24,8262,7092,1170,14.2
011,IG Group Holdings plc,limited,22,19,6203,5491,712,11.5
008,M&G plc,limited,24,20,7244,6505,739,10.2
018,PayPoint plc,low,13,12,3568,3520,48,1.3
012,CMC Markets plc,low,3,3,960,960,0,0.0
