company_id,company_name,band,group,data,technology,new,management,board,customer,artificial,intelligence,year,artificial intelligence,use,processes,strategy,digital,committee,customers,growth,support,operational,framework,governance,service,services,enhance
004,NatWest Group plc,high,0.041294,0.03707,0.035103,0.034744,0.032208,0.035103,0.036367,0.035038,0.033667,0.016178,0.034744,0.033928,0.020116,0.028185,0.033447,0.030286,0.041335,0.027482,0.033023,0.030803,0.028185,0.025006,0.0193,0.031475,0.024906
001,Barclays plc,high,0.041881,0.037056,0.036553,0.032981,0.030845,0.027622,0.026319,0.032361,0.031436,0.023604,0.031327,0.03532,0.023604,0.023852,0.031688,0.029747,0.03367,0.015494,0.028329,0.025728,0.021624,0.022695,0.022818,0.033618,0.018483
003,Lloyds Banking Group plc,high,0.046882,0.048627,0.044984,0.037024,0.038939,0.038858,0.044582,0.03844,0.036639,0.02405,0.03844,0.042493,0.0,0.035419,0.050723,0.042363,0.048217,0.031993,0.040344,0.027346,0.035419,0.012618,0.0,0.012618,0.031373
009,Admiral Group plc,high,0.045637,0.052095,0.043011,0.038515,0.03244,0.034171,0.042997,0.035336,0.033681,0.031033,0.034034,0.031033,0.025138,0.018713,0.032558,0.043421,0.043421,0.029409,0.01964,0.027489,0.030855,0.039414,0.018713,0.0,0.018713
002,HSBC Holdings plc,high,0.041123,0.041122,0.044615,0.039535,0.037683,0.035842,0.03267,0.03096,0.027583,0.025224,0.028938,0.040518,0.025224,0.03267,0.037682,0.031892,0.041528,0.035917,0.038439,0.02951,0.028938,0.035842,0.01109,0.011639,0.018777
019,London Stock Exchange Group plc,high,0.033633,0.052228,0.037033,0.039549,0.030163,0.040414,0.037341,0.029158,0.029052,0.030163,0.029158,0.032057,0.015974,0.037941,0.025828,0.02603,0.049048,0.027792,0.021801,0.026338,0.0,0.024789,0.025828,0.035298,0.009898
020,Experian plc,moderate,0.026903,0.056193,0.043468,0.048944,0.035789,0.039407,0.035096,0.043001,0.040987,0.033452,0.043001,0.043559,0.030591,0.022772,0.028225,0.031106,0.014822,0.030591,0.0239,0.012819,0.01345,0.0,0.022772,0.039407,0.028225
005,Standard Chartered plc,moderate,0.038549,0.042067,0.035076,0.036272,0.034573,0.03107,0.019209,0.023808,0.028217,0.031855,0.023808,0.040795,0.018309,0.027072,0.044136,0.029835,0.012503,0.042653,0.024988,0.025804,0.011345,0.03107,0.019209,0.03107,0.027072
006,Aviva plc,moderate,0.037648,0.031995,0.049039,0.039498,0.039354,0.04499,0.047798,0.051395,0.049717,0.033348,0.051395,0.040859,0.01278,0.022701,0.022701,0.0,0.047242,0.037648,0.023826,0.030496,0.022701,0.036719,0.031995,0.029531,0.013408
016,Funding Circle Holdings plc,moderate,0.030695,0.0455,0.046406,0.040199,0.035153,0.038707,0.041977,0.019531,0.018616,0.030695,0.019531,0.037359,0.018616,0.033981,0.019531,0.043195,0.044301,0.036311,0.033798,0.03239,0.0301,0.037281,0.019531,0.012106,0.027526
017,Boku Inc.,moderate,0.058013,0.045753,0.0,0.060865,0.035184,0.0,0.021802,0.0,0.0,0.04361,0.0,0.02078,0.04361,0.0,0.036913,0.024026,0.0,0.054225,0.063879,0.049588,0.052025,0.022881,0.045753,0.022881,0.045753
010,AJ Bell plc,limited,0.024843,0.0,0.0,0.044129,0.042062,0.046315,0.068011,0.044129,0.042062,0.059282,0.044129,0.042062,0.064825,0.054697,0.0,0.068542,0.048633,0.024843,0.0,0.052135,0.026064,0.027354,0.054697,0.0,0.044129
015,CAB Payments Holdings plc,limited,0.060556,0.021566,0.047501,0.0,0.049053,0.06319,0.021566,0.036515,0.043139,0.060556,0.036515,0.034804,0.043139,0.036515,0.045259,0.040241,0.0,0.043139,0.038323,0.034804,0.036515,0.059063,0.021566,0.0,0.0
011,IG Group Holdings plc,limited,0.039473,0.024459,0.061257,0.041413,0.074537,0.07905,0.05133,0.063824,0.060834,0.0,0.058366,0.0,0.048925,0.0,0.058366,0.083006,0.026955,0.023313,0.0,0.023313,0.05133,0.0,0.0,0.02567,0.058366
007,Legal & General Group plc,limited,0.055538,0.055219,0.057954,0.046678,0.046948,0.036827,0.04363,0.0,0.015937,0.033445,0.0,0.033445,0.026983,0.046678,0.035089,0.058913,0.03867,0.015937,0.041875,0.033445,0.039899,0.041875,0.035089,0.017548,0.035089
008,M&G plc,limited,0.055529,0.053277,0.065416,0.022326,0.06269,0.074917,0.058259,0.053277,0.050781,0.044659,0.053277,0.036031,0.036031,0.065771,0.037801,0.041659,0.041659,0.036031,0.039673,0.036031,0.022326,0.023432,0.053277,0.0,0.037801
014,Wise plc,limited,0.0,0.022699,0.049996,0.054167,0.036632,0.0,0.066869,0.047636,0.045405,0.063737,0.047636,0.051629,0.036632,0.0,0.0,0.0,0.077034,0.036632,0.049996,0.0,0.0,0.040336,0.066869,0.049996,0.038433
013,IntegraFin Holdings plc,limited,0.07063,0.091847,0.0,0.0,0.0,0.0,0.0,0.043765,0.041715,0.041715,0.043765,0.041715,0.0,0.074101,0.043765,0.0,0.0,0.0,0.0,0.0,0.043765,0.077771,0.0,0.045933,0.0
018,PayPoint plc,low,0.078639,0.0,0.052515,0.08706,0.028168,0.031016,0.0,0.0,0.0,0.047693,0.0,0.028168,0.082982,0.029553,0.0,0.0,0.0,0.059115,0.08659,0.047693,0.070522,0.0,0.029553,0.074014,0.050037
012,CMC Markets plc,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054265,0.051723,0.0,0.054265,0.0,0.087575,0.054265,0.054265,0.0,0.0,0.0,0.0,0.051723,0.0,0.0,0.054265,0.056953,0.0
