term,mean_tfidf_high,mean_tfidf_moderate,mean_tfidf_limited,mean_tfidf_low,term_type
data,0.0447,0.044302,0.038438,0.0,unigram
customers,0.04287,0.023774,0.033279,0.0,unigram
uk,0.042565,0.022445,0.011865,0.0,unigram
group,0.041742,0.038362,0.043796,0.03932,unigram
colleagues,0.041292,0.018826,0.009775,0.0,unigram
technology,0.040217,0.034798,0.040303,0.026258,unigram
model,0.039491,0.019379,0.026645,0.0,unigram
models,0.037677,0.024052,0.009342,0.0,unigram
agentic,0.037361,0.016239,0.003605,0.0,unigram
innovation,0.037249,0.045576,0.006687,0.0,unigram
new,0.037058,0.045155,0.029816,0.04353,unigram
customer,0.036712,0.033176,0.044238,0.0,unigram
model risk,0.036633,0.0,0.005896,0.0,bigram
use,0.035892,0.03667,0.034241,0.014084,unigram
agentic ai,0.035743,0.017221,0.0,0.0,bigram
board,0.035335,0.030835,0.0429,0.015508,unigram
digital,0.035321,0.030301,0.031469,0.027133,unigram
generative,0.034558,0.027171,0.016373,0.0,unigram
climate,0.034444,0.022174,0.010525,0.0,unigram
committee,0.033956,0.025632,0.041766,0.0,unigram
technologies,0.03375,0.039557,0.003752,0.017994,unigram
management,0.033713,0.036011,0.04456,0.014084,unigram
artificial,0.033549,0.027547,0.041307,0.027133,unigram
cloud,0.033303,0.016221,0.004626,0.0,unigram
bank,0.033141,0.019493,0.0,0.0,unigram
development,0.033051,0.038143,0.010638,0.0,unigram
provide,0.032948,0.019833,0.0,0.021082,unigram
focus,0.032888,0.035689,0.019908,0.0,unigram
artificial intelligence,0.032774,0.027547,0.040527,0.027133,bigram
market,0.032725,0.028359,0.021828,0.016284,unigram
high,0.032563,0.02343,0.008429,0.0,unigram
conduct,0.032541,0.007129,0.013979,0.0,unigram
example,0.032382,0.016297,0.0,0.0,unigram
review,0.032214,0.028853,0.017697,0.0,unigram
tools,0.03205,0.038048,0.011812,0.0,unigram
intelligence,0.03201,0.027507,0.042839,0.025862,unigram
strategic,0.031985,0.026615,0.023404,0.0,unigram
investment,0.031765,0.029603,0.026902,0.0,unigram
sustainability,0.031448,0.010325,0.01541,0.0,unigram
performance,0.031407,0.031861,0.003062,0.032073,unigram
include,0.031129,0.013151,0.007391,0.0,unigram
machine,0.031032,0.012071,0.009022,0.0,unigram
key,0.031012,0.023448,0.02954,0.0,unigram
adoption,0.030833,0.019967,0.028974,0.017111,unigram
banking,0.03077,0.017988,0.0,0.023651,unigram
learning,0.030582,0.027485,0.008107,0.0,unigram
resilience,0.030539,0.024008,0.007219,0.0,unigram
information,0.030392,0.022878,0.019423,0.0,unigram
support,0.030263,0.034078,0.024267,0.043295,unigram
potential,0.030218,0.021021,0.018954,0.050628,unigram
continued,0.029721,0.029384,0.014162,0.017111,unigram
impact,0.029634,0.0296,0.01797,0.015508,unigram
plc,0.029584,0.009818,0.008259,0.0,unigram
strategy,0.029463,0.021305,0.03968,0.041909,unigram
future,0.029326,0.02706,0.008809,0.037762,unigram
engagement,0.029145,0.026433,0.018183,0.016284,unigram
products,0.029103,0.02545,0.011979,0.016284,unigram
approach,0.028821,0.032706,0.016176,0.0,unigram
opportunities,0.028772,0.031376,0.021944,0.0,unigram
changes,0.028696,0.020361,0.0,0.0,unigram
access,0.02864,0.017449,0.008449,0.019968,unigram
generative ai,0.028616,0.021314,0.013079,0.0,bigram
use cases,0.028595,0.014292,0.003605,0.0,bigram
analytics,0.028551,0.020899,0.004894,0.0,unigram
using ai,0.028404,0.0,0.011861,0.0,bigram
process,0.028215,0.016103,0.027356,0.0,unigram
completed,0.028207,0.010441,0.0,0.0,unigram
assets,0.028106,0.026982,0.009664,0.0,unigram
growth,0.028014,0.040285,0.025699,0.029557,unigram
cases,0.028003,0.016431,0.00761,0.0,unigram
operational,0.027869,0.030219,0.025675,0.049708,unigram
group plc,0.027842,0.0,0.004662,0.0,bigram
help,0.027827,0.022379,0.014399,0.0,unigram
using,0.027804,0.022745,0.019731,0.0,unigram
change,0.027751,0.018331,0.016571,0.0,unigram
responsible,0.027575,0.018442,0.024486,0.0,unigram
platforms,0.027553,0.006581,0.006104,0.040951,unigram
ai data,0.027501,0.01742,0.0,0.0,bigram
experience,0.027456,0.02761,0.019833,0.0,unigram
systems,0.027424,0.032079,0.004722,0.036665,unigram
challenges,0.02732,0.016194,0.0,0.0,unigram
laws,0.027262,0.004891,0.0,0.0,unigram
regulations,0.02725,0.013327,0.0,0.0,unigram
markets,0.027248,0.030327,0.017005,0.0,unigram
officer,0.027141,0.012071,0.009862,0.0,unigram
oversight,0.02714,0.017977,0.017299,0.0,unigram
driven,0.027055,0.033886,0.012078,0.034175,unigram
machine learning,0.027044,0.012071,0.009022,0.0,bigram
ethics,0.026916,0.004126,0.0,0.0,unigram
skills,0.026897,0.035142,0.003605,0.0,unigram
scale,0.026838,0.036121,0.007443,0.0,unigram
report,0.026799,0.032728,0.028642,0.0,unigram
capabilities,0.026771,0.033337,0.024726,0.0,unigram
governance,0.026727,0.02559,0.038547,0.0,unigram
use ai,0.026712,0.026564,0.017328,0.0,bigram
income,0.026671,0.004566,0.0,0.0,unigram
solutions,0.026649,0.031105,0.021328,0.016284,unigram
transformation,0.026627,0.030173,0.010825,0.0,unigram
journeys,0.026374,0.004876,0.004343,0.0,unigram
controls,0.026312,0.021721,0.035551,0.0,unigram
ensure,0.026216,0.021593,0.024214,0.0,unigram
continue,0.026196,0.027238,0.021944,0.023847,unigram
quality,0.026169,0.011694,0.008255,0.0,unigram
plc annual,0.026145,0.003928,0.004067,0.0,bigram
need,0.025986,0.017129,0.003605,0.0,unigram
related,0.025896,0.022725,0.01932,0.0,unigram
provided,0.025865,0.006149,0.012466,0.0,unigram
value,0.025808,0.028518,0.017569,0.031419,unigram
economic,0.025778,0.013267,0.010007,0.0,unigram
insights,0.025675,0.018154,0.00465,0.0,unigram
trade,0.025613,0.011518,0.004343,0.0,unigram
eu,0.025593,0.0,0.0,0.0,unigram
strong,0.025567,0.027805,0.01497,0.016284,unigram
climate risk,0.025551,0.010469,0.0,0.0,bigram
evolving,0.025526,0.040592,0.011498,0.0,unigram
regulators,0.025395,0.003863,0.0,0.0,unigram
leading,0.025267,0.026512,0.005312,0.0,unigram
modelling,0.025214,0.0,0.0,0.0,unigram
ai tools,0.025172,0.019801,0.0,0.0,bigram
deployment,0.025088,0.007663,0.00872,0.0,unigram
working,0.025065,0.015979,0.016173,0.0,unigram
year,0.025042,0.034592,0.043342,0.023847,unigram
crime,0.024909,0.003693,0.021313,0.0,unigram
enable,0.024853,0.02159,0.0,0.0,unigram
compliance,0.02484,0.030309,0.02003,0.0,unigram
internal,0.024829,0.024251,0.028879,0.0,unigram
focused,0.024805,0.013755,0.0111,0.0,unigram
increasing,0.024733,0.010469,0.034339,0.0,unigram
failure,0.024704,0.019106,0.005959,0.0,unigram
discussed,0.024684,0.003863,0.004067,0.0,unigram
pay,0.024674,0.014624,0.014878,0.0,unigram
non,0.024674,0.022533,0.015313,0.0,unigram
policies,0.024665,0.012047,0.019042,0.0,unigram
emerging,0.024649,0.033668,0.012297,0.053197,unigram
delivery,0.024479,0.011996,0.014441,0.045203,unigram
ability,0.024404,0.016192,0.00455,0.0,unigram
corporate,0.024382,0.017494,0.0121,0.0,unigram
executive,0.024379,0.027249,0.022582,0.028971,unigram
digital assets,0.024363,0.013965,0.005949,0.0,bigram
transition,0.024355,0.015753,0.004814,0.0,unigram
issues,0.024303,0.010982,0.005593,0.0,unigram
independent,0.024176,0.006541,0.004067,0.0,unigram
framework,0.02417,0.025924,0.031414,0.035261,unigram
fraud,0.02413,0.024338,0.016255,0.0,unigram
based,0.024127,0.019585,0.012837,0.016284,unigram
monitoring,0.024098,0.014846,0.0215,0.0,unigram
security,0.024091,0.025634,0.020305,0.0,unigram
driving,0.02408,0.019083,0.010297,0.0,unigram
data ai,0.024021,0.016362,0.012762,0.0,bigram
applications,0.02401,0.017153,0.0,0.0,unigram
risk management,0.023974,0.027109,0.024166,0.0,bigram
building,0.023962,0.029445,0.008677,0.0,unigram
importance,0.023962,0.004047,0.008255,0.0,unigram
operations,0.023916,0.030546,0.023978,0.0,unigram
sustainable,0.023907,0.00881,0.008946,0.0,unigram
launched,0.023881,0.017234,0.01057,0.030466,unigram
party,0.023876,0.011314,0.010713,0.0,unigram
real,0.023791,0.027503,0.0,0.0,unigram
roles,0.023776,0.0,0.0,0.0,unigram
result,0.023767,0.017938,0.0,0.0,unigram
colleague,0.023705,0.018101,0.0,0.0,unigram
enhanced,0.023671,0.018203,0.012758,0.037762,unigram
regular,0.023602,0.018919,0.0,0.0,unigram
work,0.02359,0.027426,0.016668,0.016284,unigram
ambitions,0.023587,0.009146,0.0,0.0,unigram
areas,0.023578,0.021288,0.02922,0.0,unigram
annual,0.023554,0.030313,0.028957,0.0,unigram
directors,0.023537,0.012373,0.030145,0.0,unigram
particularly,0.02351,0.01801,0.015446,0.0,unigram
