term,term_type,document_frequency,document_frequency_pct,idf,total_count
group,unigram,18,90.0,1.1001,336
use,unigram,18,90.0,1.1001,187
management,unigram,18,90.0,1.1001,155
intelligence,unigram,18,90.0,1.1001,140
growth,unigram,18,90.0,1.1001,104
year,unigram,18,90.0,1.1001,88
operational,unigram,18,90.0,1.1001,87
continue,unigram,18,90.0,1.1001,68
processes,unigram,18,90.0,1.1001,62
people,unigram,18,90.0,1.1001,52
data,unigram,17,85.0,1.1542,314
new,unigram,17,85.0,1.1542,176
customer,unigram,17,85.0,1.1542,161
digital,unigram,17,85.0,1.1542,134
artificial,unigram,17,85.0,1.1542,132
artificial intelligence,bigram,17,85.0,1.1542,125
strategy,unigram,17,85.0,1.1542,90
key,unigram,17,85.0,1.1542,73
framework,unigram,17,85.0,1.1542,65
time,unigram,17,85.0,1.1542,53
annual,unigram,17,85.0,1.1542,52
enhance,unigram,17,85.0,1.1542,52
service,unigram,17,85.0,1.1542,52
significant,unigram,17,85.0,1.1542,50
bias,unigram,17,85.0,1.1542,46
technology,unigram,16,80.0,1.2113,186
board,unigram,16,80.0,1.2113,133
support,unigram,16,80.0,1.2113,90
services,unigram,16,80.0,1.2113,78
impact,unigram,16,80.0,1.2113,72
governance,unigram,16,80.0,1.2113,71
capabilities,unigram,16,80.0,1.2113,60
report,unigram,16,80.0,1.2113,60
deliver,unigram,16,80.0,1.2113,55
cyber,unigram,16,80.0,1.2113,50
risk management,bigram,16,80.0,1.2113,48
efficiency,unigram,16,80.0,1.2113,41
outcomes,unigram,16,80.0,1.2113,35
customers,unigram,15,75.0,1.2719,167
committee,unigram,15,75.0,1.2719,98
focus,unigram,15,75.0,1.2719,78
market,unigram,15,75.0,1.2719,74
investment,unigram,15,75.0,1.2719,70
solutions,unigram,15,75.0,1.2719,67
engagement,unigram,15,75.0,1.2719,64
potential,unigram,15,75.0,1.2719,63
opportunities,unigram,15,75.0,1.2719,62
controls,unigram,15,75.0,1.2719,59
products,unigram,15,75.0,1.2719,57
work,unigram,15,75.0,1.2719,57
driven,unigram,15,75.0,1.2719,56
ensure,unigram,15,75.0,1.2719,54
operations,unigram,15,75.0,1.2719,51
internal,unigram,15,75.0,1.2719,50
improve,unigram,15,75.0,1.2719,46
related,unigram,15,75.0,1.2719,46
strong,unigram,15,75.0,1.2719,46
based,unigram,15,75.0,1.2719,45
drive,unigram,15,75.0,1.2719,39
increasing,unigram,15,75.0,1.2719,36
activities,unigram,15,75.0,1.2719,33
external,unigram,15,75.0,1.2719,33
developments,unigram,15,75.0,1.2719,32
accounting,unigram,15,75.0,1.2719,30
ensuring,unigram,15,75.0,1.2719,29
teams,unigram,15,75.0,1.2719,27
strategic,unigram,14,70.0,1.3365,80
adoption,unigram,14,70.0,1.3365,64
continued,unigram,14,70.0,1.3365,62
information,unigram,14,70.0,1.3365,59
use ai,bigram,14,70.0,1.3365,56
value,unigram,14,70.0,1.3365,56
approach,unigram,14,70.0,1.3365,53
product,unigram,14,70.0,1.3365,53
responsible,unigram,14,70.0,1.3365,52
fraud,unigram,14,70.0,1.3365,50
using,unigram,14,70.0,1.3365,48
emerging,unigram,14,70.0,1.3365,45
executive,unigram,14,70.0,1.3365,45
global,unigram,14,70.0,1.3365,45
security,unigram,14,70.0,1.3365,45
oversight,unigram,14,70.0,1.3365,44
control,unigram,14,70.0,1.3365,41
platform,unigram,14,70.0,1.3365,39
areas,unigram,14,70.0,1.3365,38
fairness,unigram,14,70.0,1.3365,38
culture,unigram,14,70.0,1.3365,35
employees,unigram,14,70.0,1.3365,35
increase,unigram,14,70.0,1.3365,35
initiatives,unigram,14,70.0,1.3365,34
industry,unigram,14,70.0,1.3365,33
policy,unigram,14,70.0,1.3365,33
better,unigram,14,70.0,1.3365,32
intelligence ai,bigram,14,70.0,1.3365,32
benefits,unigram,14,70.0,1.3365,31
environment,unigram,14,70.0,1.3365,30
making,unigram,14,70.0,1.3365,29
monitoring,unigram,14,70.0,1.3365,28
delivered,unigram,14,70.0,1.3365,27
greater,unigram,14,70.0,1.3365,27
operating,unigram,14,70.0,1.3365,26
invest,unigram,14,70.0,1.3365,22
estimates,unigram,14,70.0,1.3365,19
monitor,unigram,14,70.0,1.3365,19
model,unigram,13,65.0,1.4055,84
technologies,unigram,13,65.0,1.4055,76
generative,unigram,13,65.0,1.4055,66
development,unigram,13,65.0,1.4055,60
regulatory,unigram,13,65.0,1.4055,60
experience,unigram,13,65.0,1.4055,56
future,unigram,13,65.0,1.4055,50
evolving,unigram,13,65.0,1.4055,46
powered,unigram,13,65.0,1.4055,45
process,unigram,13,65.0,1.4055,44
scale,unigram,13,65.0,1.4055,43
transformation,unigram,13,65.0,1.4055,42
audit,unigram,13,65.0,1.4055,40
increased,unigram,13,65.0,1.4055,38
team,unigram,13,65.0,1.4055,38
